time,ACCESS-ESM1-5,ACCESS-CM2,CESM2-WACCM,IPSL-CM6A-LR,CANESM5,MRI-ESM2-0
2236.0,1666230900.0,1656731500.0,887023940.0,925513660.0,8527187000.0,4321356300.0
2237.0,1664754700.0,1665733000.0,886878300.0,1038673200.0,8471730700.0,4286689000.0
2238.0,1752065200.0,1711158700.0,885747400.0,895123800.0,8415744500.0,4299038000.0
2239.0,1645583600.0,1639661300.0,884019650.0,1156053600.0,8406054400.0,4277408800.0
2240.0,1630178300.0,1644418400.0,883494900.0,843272060.0,8395002400.0,4267279400.0
2241.0,1609536600.0,1585679500.0,883740300.0,819906200.0,8335765000.0,4222072000.0
2242.0,1607983600.0,1622540700.0,883199300.0,1202400500.0,8168521000.0,4223537200.0
2243.0,1603680400.0,1579006800.0,873916860.0,813711500.0,8163723000.0,4212202000.0
2244.0,1597864100.0,1568739200.0,871699140.0,811252860.0,8097410600.0,4207377200.0
2245.0,1677867600.0,1559292900.0,847421760.0,1125535400.0,8043416600.0,4195265300.0
2246.0,1545822100.0,1539495400.0,845021440.0,887340160.0,8023369700.0,4179752700.0
2247.0,1528736000.0,1535209200.0,835162300.0,2261904400.0,7919024600.0,4149718800.0
2248.0,1523536100.0,1535836700.0,828276400.0,1557768300.0,7814404600.0,4114333700.0
2249.0,1506133500.0,1524454800.0,828268300.0,963508100.0,7769253400.0,4244098600.0
2250.0,1498452500.0,1526347300.0,825650050.0,818340300.0,7769942500.0,4092113200.0
2251.0,1472173800.0,1517409300.0,827749000.0,814084860.0,7743315000.0,4081670000.0
2252.0,1478911600.0,1493905400.0,816804000.0,1118483600.0,7624129000.0,4136739600.0
2253.0,1466628900.0,1467277700.0,818850600.0,821306000.0,7603816400.0,4040273000.0
2254.0,1466580200.0,1458962200.0,809887400.0,1279129000.0,7560946000.0,4064417800.0
2255.0,1450145700.0,1489037700.0,812982600.0,1687082000.0,7461315600.0,4054455000.0
2256.0,1527825800.0,1466080400.0,792440600.0,1227843800.0,7433410000.0,4078134800.0
2257.0,1599224700.0,1436000000.0,788336000.0,1262120800.0,7421777400.0,4148664000.0
2258.0,1498793700.0,1479101400.0,787797200.0,1465456000.0,7369531000.0,4124688400.0
2259.0,1487135000.0,1411420700.0,788118900.0,1223949200.0,7335716000.0,4073476900.0
2260.0,1480208500.0,1405599200.0,788391800.0,969709200.0,7245113300.0,4033115000.0
2261.0,1496250600.0,1404038100.0,776963900.0,900309060.0,7202849000.0,4001980200.0
2262.0,1471548000.0,1438623600.0,776493700.0,892702000.0,7180457000.0,4061058600.0
2263.0,1457359400.0,1388068900.0,769237570.0,857621570.0,7133887500.0,4179114500.0
2264.0,1447903600.0,1601013100.0,769240900.0,808849600.0,7122403300.0,4082011400.0
2265.0,1433338000.0,1486809300.0,767030000.0,794200100.0,7097609000.0,4014530800.0
2266.0,1477938800.0,1617271400.0,764039200.0,775303100.0,7097222700.0,4010550500.0
2267.0,1434303100.0,1443873300.0,765921900.0,796050300.0,7050582500.0,4044194600.0
2268.0,1408971300.0,1420725600.0,762139500.0,708529800.0,6997932500.0,4007747600.0
2269.0,1525956000.0,1437502100.0,760631040.0,1017203800.0,6978596400.0,3995088600.0
2270.0,1407791500.0,1395780000.0,757355400.0,807404740.0,6974747000.0,3986661000.0
2271.0,1391634400.0,1386418000.0,757463360.0,1804157600.0,6918182000.0,4010258700.0
2272.0,1388498700.0,1380835300.0,750142700.0,1167571300.0,6878029300.0,3984809000.0
2273.0,1387789000.0,1370669400.0,750318600.0,783406900.0,6856473000.0,3981940700.0
2274.0,1385225100.0,1373644400.0,750383400.0,1487494700.0,6822950000.0,3970787800.0
2275.0,1382850000.0,1366356100.0,750310600.0,1339902200.0,6780166000.0,3954204400.0
2276.0,1376874400.0,1449098900.0,744750850.0,1601004900.0,6772276700.0,3931755800.0
2277.0,1356912100.0,1530161500.0,744361300.0,927084000.0,6717397500.0,3933227500.0
2278.0,1355462400.0,1406801400.0,732434000.0,1149899500.0,6694907000.0,3981655000.0
2279.0,1471930200.0,1357658000.0,730647040.0,720590300.0,6705460000.0,3927709700.0
2280.0,1354121700.0,1360182000.0,733901500.0,733711040.0,6759987700.0,3908225300.0
2281.0,1376379800.0,1474606100.0,732758850.0,720613800.0,6760534500.0,3936513500.0
2282.0,1353504300.0,1396705500.0,729313540.0,705223800.0,6761674000.0,3895328300.0
2283.0,1355046300.0,1385598000.0,735798900.0,716020300.0,6685012000.0,3850463700.0
2284.0,1337978200.0,1573725400.0,721842600.0,725997000.0,6660476000.0,3856062500.0
2285.0,1359891500.0,1474893600.0,704331300.0,992697200.0,6668993500.0,3807953200.0
2286.0,1337592400.0,1455596200.0,702891300.0,796790850.0,6608484000.0,3800406300.0
2287.0,1467236000.0,1435423500.0,703289800.0,834609600.0,6550316000.0,3780178200.0
2288.0,1338200400.0,1437102800.0,704141100.0,705101700.0,6539749400.0,3779590000.0
2289.0,1300951800.0,1398807400.0,736277900.0,1948278900.0,6513743400.0,3772617200.0
